1547	ELP3	0.0163	-0.35014
10985	EGLN3	-2.06475	-0.44659166666666666
879	HMG2L1	0.0305	0.007566666666666646
7523	RAX	-0.475	0.07909629629629632
13230	CFHR3	2.439	1.9799555555555557
17123	NOC2L	-1.451	-0.8028222222222222
3295	HIGD2A	-0.327666666666667	-0.08530370370370374
8624	LRRC4B	-2.1675	-0.3989888888888889
12674	IL1RAP	0.135333333333333	-0.6203783763561542
12490	CHRNB4	0.39575	0.2682993827160494
17566	C8orf41	-0.575	-0.3046333333333333
8253	GALC	1.14316666666667	1.0937385185185184
1364	SCUBE1	-0.476	0.33949259259259257
12574	PHOX2A	0.53925	0.7298370370370371
3679	GMIP	0.1305	0.7448296296296296
16977	MYT1	-2.633	-0.42267777777777776
7232	BTBD8	-1.219	-0.7348296296296296
15881	PCDHB18	0.7635	0.24470185185185186
6345	ANKRD5	-0.62025	0.5847977513227514
13187	CDC42BPB	0.067	-0.4188459259259259
14373	HOXA6	0.754	-0.05164814814814811
5125	RXFP4	-0.2435	0.228129012345679
675	ZNF10	0.60025	0.1301914021164021
4012	LOC400451	1.0135	1.1714907407407407
6754	DHX35	-0.4315	-0.34475925925925927
12865	STARD6	0.470666666666667	0.28080197530864204
13561	EIF1AX	0.309583333333333	0.08967839506172832
15353	HMGCLL1	0.173	-0.25094814814814825
12134	SEC61B	-0.079	0.312833950617284
4163	CHRM2	-0.871	-1.4205518518518518
2509	KIAA0586	-0.813	-0.4907531746031746
9275	RDX	-1.3675	-1.3303098765432098
13498	GFPT2	-0.705	0.03647098765432096
9992	PITPNC1	-1.34866666666667	-0.9173555555555556
8616	AP4S1	-0.0806666666666667	0.008645925925925915
9307	METTL7B	-0.961166666666667	-0.4234913580246913
17672	C1orf127	0.2405	0.24265864197530865
7374	CES3	0.392666666666667	-0.6163508641975308
3403	NFE2	-4.301	-4.278112962962963
16509	ADAM17	-0.09025	0.2808664021164021
6622	DLX1	-3.14575	-2.3925425925925925
10269	MRPL28	-0.96175	-0.5285814814814815
9352	NCF1	1.921	2.015233333333333
17344	PHF6	-0.459333333333333	-0.4591464197530865
9742	GRPR	1.00533333333333	1.846732839506173
6774	MGC14436	-0.0675	0.16262222222222222
6890	RAB5B	0.5045	0.7489444444444444
4039	FOXA1	0.878375	1.4574425925925927
11354	HIST1H2BL	-1.904	-0.34892962962962965
16811	PUSL1	-0.921	-0.47199629629629636
14350	TRIM46	-0.541	0.30056234567901235
9338	TPTE2	0.261666666666667	-0.04631506172839502
15090	TYW3	-0.0867	-0.527858683127572
349	SYDE2	0.16825	0.5134975308641976
6578	ZNF613	1.3195	1.193162962962963
10495	KIAA1706	1.69675	0.9556567901234568
